ID,Column Name,Justification
42,,Null (entire row)
53,,Null (entire row)
103,,Null (entire row)
114,,Null (entire row)
180,,Null (entire row)
285,,Null (entire row)
362,,Null (entire row)
442,,Null (entire row)
448,,Null (entire row)
535,,Null (entire row)
543,,Null (entire row)
652,,Null (entire row)
678,,Null (entire row)
694,,Null (entire row)
768,,Null (entire row)
818,,Null (entire row)
891,,Null (entire row)
915,,Null (entire row)
1008,,Null (entire row)
1039,,Null (entire row)
1047,,Null (entire row)
1054,,Null (entire row)
1107,,Null (entire row)
1111,,Null (entire row)
1160,,Null (entire row)
1268,,Null (entire row)
1316,,Null (entire row)
1343,,Null (entire row)
1498,,Null (entire row)
1553,,Null (entire row)
1566,,Null (entire row)
1581,,Null (entire row)
1693,,Null (entire row)
1718,,Null (entire row)
1724,,Null (entire row)
1741,,Null (entire row)
1760,,Null (entire row)
1921,,Null (entire row)
1959,,Null (entire row)
1990,,Null (entire row)
2012,,Null (entire row)
2024,,Null (entire row)
2025,,Null (entire row)
2115,,Null (entire row)
2161,,Null (entire row)
2207,,Null (entire row)
2273,,Null (entire row)
2283,,Null (entire row)
2284,,Null (entire row)
2370,,Null (entire row)
2395,,Null (entire row)
2398,,Null (entire row)
2406,,Null (entire row)
2477,,Null (entire row)
2499,,Null (entire row)
2529,,Null (entire row)
2645,,Null (entire row)
2698,,Null (entire row)
2731,,Null (entire row)
2732,,Null (entire row)
2856,,Null (entire row)
2859,,Null (entire row)
2933,,Null (entire row)
2984,,Null (entire row)
2991,,Null (entire row)
3010,,Null (entire row)
3056,,Null (entire row)
3088,,Null (entire row)
3148,,Null (entire row)
3161,,Null (entire row)
3171,,Null (entire row)
3186,,Null (entire row)
3197,,Null (entire row)
3283,,Null (entire row)
3366,,Null (entire row)
3368,,Null (entire row)
3382,,Null (entire row)
3440,,Null (entire row)
3478,,Null (entire row)
3525,,Null (entire row)
3543,,Null (entire row)
3587,,Null (entire row)
3636,,Null (entire row)
3841,,Null (entire row)
3859,,Null (entire row)
3861,,Null (entire row)
4021,,Null (entire row)
4057,,Null (entire row)
4066,,Null (entire row)
4067,,Null (entire row)
4133,,Null (entire row)
4203,,Null (entire row)
